ID Imagem,ID Folha,Perímetro,Primeira Diferença
Teste01,11,3346,10000000000077170007100000170170071700170170001701710710001717170007107001700170170171710000007007171710710710000101017107717000700170170171710710700100001700007170710711701000171710170000160170701701701717170171717000000001170100007007071071000710710001000001700000011610000001700171701707000771071071007100710001017170070710710710071071701717101000000071610710700100701071007100001000170170170010710071007160071717010710717171710011701070007071070170171700170171010000001700070717000017017001700170000001700007100727710171171000007000700000710000000000007100000071071071071010717007710017000170017002617100001071070007001701717170171710717171710710717017170171717171701717017017001717170017017017017000016100000007101771000001717171000017171000701071071717171071717107171717107107017171717107010710701070107171710717171710717100007170170700016170161007000710717171717171070170171701710701070171710701717171710701070107171717171007171071071071071071071071000171000001701717100071007107171717010701071701717017017017001701700170001700170170170170171701717171071007170701001701700017001700017000177170700171017101627170170171710717007001017001700170017007710100007100000727071077177100710000010100000001610007171007261710717171071710700070161710710010017017171717107170717710071701072710717100007171710717177170071717100020771071101701701710710717000700007100100000000000717170100000000071707107000000071170000017017000711171717171007100000717717017011000000007107100007160100701717011700001700017001707161701701717107100710100001710710000071770000011717170171701701717171071700707171071000101717171701070107100610710017171717171700007000711000017000170170170171701700071700
Teste01,12,3250,10000000000000000001701000010000017000000400017001000710701170000000107000001070001726010162161017017100007100017107176061000000710000000170000000107000017017000171717000017170026172617262000000000107010710071000170000005701701700171000071007100071071171070001700170001701700000000000017001700170017107172607011107171170170100710077600727000001700107170001071710711700000710000000001701701071710100171071071000727066017001700017000170106271007107010717100071071701717107010701007100007100007100000000000170710070171070017107171070171710007107100070117701717170170000000170000170000001700170017017100261060001707171000007100710007107010701701611070107000000000007100010170100007100710000071000711070000000070170171700071610700162772771160011761171071070000710000000000017001721720600002601700161170000026070101617115207162160017000162700001700000000000711716100711611772772700007270071161177261726116171007207000007010711625126107100071071000726100700172601160116171007107100710071007107111401100071710000016116101621570762107010000001000001710717107100710070261710717107001007171701726017100710710071070100000000000006771000000000100000017171000001070000010700000107000007117001700000000007117161001700000017170107017010710717100707600017100627100001071711701717100710710071000071007171710071071000710710717100710000710000170001701070760717270000000017001710710010000017000171701701700171701701717001701717107100007100001717007607116100017000115271071002771000000000170000000001700000170000000017000017000001700170170001700007270000000000000001070000611770701071726172617100727710710071007171007107171071000710710000071177277
Teste01,13,3156,100000000000001627001707771702010104210170710171717017077001215117170010627017177711726172610701717170007170070071070170010701710710161001700071710000006270011170770171071710001117700610071000071001010016007001701700710071071711702170706116107017171701701270700717170010711117167170710710710117717717107107107170001002717070710710771170102161077177107107107107101017071610177107107107107107162171000610710700170170171011061070710710710710710000071070017017170162071110770071701701700017017170017001716207120707106170170017000170170170171071160161161000711100170770007100017170162062152627017017000170001700017000017000170000000017001701701701700001700001700000000017000162772707262701627000072610710726100717100710071726171007170100107171007117071170000000000071017710000071071177107107107107107100710710711601071700006100701717076207107171071717107107107100071007100000710161001700000001700011711701071717001700007101617010717107000177216000727000000000000007100000710000071000710000007100170000000600011161007100071606011101007100071071701710710000000571712711610100717171701701070001606101171171071000710717170000170076000121510117171071071007166011110701717017170500111701000001717170017710071717017010170017170717170611017101710771701161007171701627001001717170017710717170177011700016200071017000050101017011610071000710717170017000611001007171717000000000010710710717170017071017710171071700000000071010710717017000000007271071717001700160100000000071726027001070000000070621017000000710017017071072771170017170016107267110171701707207601276017110170017001700017007010601
Teste01,14,4534,10000000000000000000000000071710007171000011701717100700707107010717171071717171710727017100161007010026171071007107100071000170710000717060100717171701710717171710717171017101700700070171717171071717171717000017002717107107000710717017000171717001071717171071717117100000000161170017171710710717160007170017001717170010717017010001001701611600710717001700001700000000100017100711771700071700071170000071017717100710710717171070170107010001000107171700717170701717010717107010701717017017170170001700000170110070017707171071000007100007100007100017000170171010717170077100000000000000000000000000017000000000017000000000000000000000000000000000000007100000000000000000000000000710000007100000007100710007107171007107107171000717171007100000000000017100017017171071700171710701701701701717017010700171700171717017001717017017170017107001700171717001717170171700171717170172617170000071610710007000717000000071717107001717001717001701700170000170170017170170017170017001701701701701701701701701717017171717017171070171717171717171717171710710071171071000000017171071710717171071701700170017000161170017000170071017000000000000710000000017000000017001700017170171710717177007101000161007100007116100071177107177170161017010171710007116100001717017107070007172000000000007117007007010017170017017017171717170071771700170170107101010717010717170170000170170171700000170000000170000000007107007170000000100171000000000000000000170000710717701700000000000011717170171710710717017170171700070007171717170171071117161716270110000000007117000017000000071071707001701701107100071000710717107017170017107100710071070177171772610710071071071711617100071000001700710717101000171701717171710710007171770000000000720171007100717107171717107100717000700000161000001071000007100007117717071716117710170161107171717100001710170171710717100710771771710710010017170000170000001701701701070717007170017017100710101700170017017001717010770170171001700170170170071700071071710017100000000000001700000161070170007100170010007100700070071070001717100161177016277100000000071000727710007270170010000170000700170710000007100161000071000000107107170061100701700171717107171710720001000170071771070000710000000000000000170016100072710710007170177107017107100000001000017107100000000000707170000016
Teste01,15,5576,1000000117100000017161520107100077110071100717170000051601001000071170001274121710607001101727000006000110007107700007271101700061100071006000710072107171077011070107177051011106011711007100007700000110710071717177710010171701071717621076262621000000000715100110717071071077010710072107170017707261101710717161071070077012160170072171707117001170170006007107171717172420216077117700072017215201716007111727717621701771071600107017210007770201070171777001001000001701700701700007000070710717171000017106201000070217007710100000700701007210060711017007100070610020160010017700720000000000502060001062701700102610707017171002771000700000701010700110077200160701711000177727010617026710267001700000017000007110100071726071700100117161702711607001720701062627001701517000071001771011070250127717071110717171077027016177126010520170117701016200107107117071000717007110770116100070700201070000167011717170000007170070017007110707171710717017107177100001177107171110600710701700170001000710710710011077007171717171717017262070007107210107176010167100070017000017010107100000016100161010001671010071171777177170000001720700717010711107710260700010701017107016110000711707070001621000161000006107000070100717000001110710610700000611700017717102071711617071700101250017011600100070001070102610771277701026107001777116171717000000000170107000000711601107200070070000000171077110070017100071071717100117177001107116100006102500007000000000000000000000171727700000000171700006207727010000107017170711070000000071071710000007010620070100620710620620070000162701000000070100620000001076206271620000107001700000017111707070701701772060116020620000107105262070162710701062062700117710701062626271062006262105262000716206206101621527000106262716200620000006206207106262610177262701626110707026117711620000716216720510206260017262006200062000062000711700000107117007626107116260261101616260277262602611170617107261160011070160100107000007270000162611701626026117717262711715260262611600260110006000010016216105100251017100016707200001016020711760262610611720062761017000712620600701070001026712510000017071026000700727000161610017170017116171717100071001250701710710000000120007010062006200000006207100771106262000051200621715101062000701007100701620602617001114720700170070170000007171001610000717011610711516120717171070170101610620512006200177117160110010001771000026001000001701707261070107262602777010711700026026267116107000012770107161007000100717170010421107717100011717025010772717001700000107000017017727001701701717017770110170000001700000600011000017000711707777120001000711070170010717017170070000717011001700000070100000000070106127170077010117000171701717717701171001701610000007706011012752117000710170007070171270000001615210000071710007067102071161207177000001000000107777201000710017007770
Teste01,16,4182,100000000000000077000007100710000007100000007117011007100717700000007100710710071710710727117017107170700007171710710710701070171701717017001610017000100171170007000000700000017017000000000000071007171000270710077000000170170001701700170107100711710000007106017001071717170171717010717170107171161701717017170171701717170171701701717170171701717017017001701701701700017000000017000000000170000000017001717010710010071000000000071000000000710007100000710000007100007100000071007100000710000071000007100071000000710000071000071000000071001700710071070700017000071707171700000000071000071000071000710071071007100007100071007100000710071000710000710007100071000000710000000007100000000000710000000000000000000000100017170107100000000000000000000000710071000710710710071007107107171071071071710717171710717107100717107100071071000071000000000007700101710070171717171717171710717070000717100001017170107171710710000000071617000110717107171717100707071101610071016100170007000700710000170271170000170000717100000710710717171710717001700717071717101000017017170170107107170000070007170010711000007100000001707100007100007177170000000710000001100070717110171701717171071710700017071707100011611700170000000016100007100000017000017710070071700017000000000170000170010717170000000117100000710000000000170000007070171700110000017000000000000000001700717177171701701017171717170100701070700007107171000710000000000100010710000000000170007070000017101000071007107171071000071000000717070007100071170001010710007100710007100000006100001007100710000710717070000000010001071071710710710710710071716107000100711717171771601717177100000100710707170170170170017017001701007101710007107177107001717001717001700171710171707161177100071000000000000000117101710700007177170017017170171710710700171001717170161717710000001701000107100001701717017071707171701701717171701717171700000170000017110710000170717701610000000000000000000001000171071700172700000170000017001717170170000077170000071000000000000000000010010071707000071000000000000000071071000711001701771700000000717100000710000000000000000010017107107107107
Teste01,17,2604,100000071007100071007100710071710071000710071007100710726171007100717107107107100710007171007171071071071071071007107171007171007107171071071071710710710717100717107107107171071071710717171071717100717171071717171717107170171710717171717170171717171717171717171701717017017017017017001717170171701717170171717170171717017170170170170171717017170017017170017170017170171700170170171717001717001717017017001717000171701700017170001700170000170000017000016117000170000000017000000000000177100000000000000711771000007100000000000001610161170170001700000177100170171717017171701717170171717170171717017171717017171717017161717717017171700717170071700000170001717017171701717170001710070171701717171717107171007100717107172610071007100071007100726100710071000071000710071007171007107107107171071007171071071071710071710717100717107171071071717171071717171710717171071717171710717010717107171717107170107171717107171717171717171071717170171071717171717171701717107171717171701007170171710717171717107171717171071717171701717171717170107171717017171701717170001717000170171717001701717017170171701700171701700170171701700017170001717017000170001700170001700001700170001700017000161170000071016100000001771000000711610000710071071007107100000000000000000710000071000710000000717100711600750200710071000710071007
Teste01,18,3086,1000125072617107001701700170017711072716017007116100711701117700717017001700170170260017071161000071000020106070016100071710000710071711610002016161077100071710710000710106125107170170000110116177070000107100710711617171161071710717107107171071710717010717107100710071710717171071700010717116170171717171710700001717072700001700727000017711700000000711710001701701071710710701710701071701071701070170171717017001701700170170017017017000160170701700007700017000170000170170017017170170171717017107017260107171071071710010100000071000710717107170107071106101707010711761171710701701700170017001700017000001700017001717171701777011171627000000006701110000170000016107261001627107051700217171000000000710007100071071060701101727000001627007100710710142107777127001261000000017000060612100071000726100067011000170100071000071071701700000710100071071007000707271010072707710010700017071717101071000710726170017071006020717100017017100717077621107117171700107017016100711617061271017000170701700171000170017000071717001700117017071701701610101700170717171701701000170071071007017017000000161100007171717071611100700170001000700170016207100071070000015012000071070116711761001171007171007170000016621170017017010717171070060007210017010700010001771077017271000007100071760127001700000000071007171717060170170161000007101701717171710070170170107016107102160070001700170020107700701701717170172711710777107100070107170017017010721710607171771170000710206107017007100172100076107017017001010771700017017000071002710061701700167207110117006107017001701700
Teste01,19,2694,107170171701070171717017171070171717170010717017170017017171717017170170170107001701717001700171701701717170017001701700170017017170170001717017001700170161170170017001701700017017161170017017000017000170170000170000170000161017000000001610170000000016100000000177117000000000071000007100071000071000000071000000000000000000710000000071161007117710000000710007100007100007100000071000710000007100007116100071000007107100007100710000710710071007100710717100701007107107107171071071071717100701007171710717171071717171717107170107010717010701701710701717171717107010710701071710000701007107171071717100071000000000000000000000710000000000000000000000000000707270610000000710700000007071071071710071000000000710000000710017000710161017000000170001701701700170171717017171717017171701717170171717171717017171701701717017000170017017017001700170170161170017017001701700001700017000000017000001700001700000001700001771170000017000016117000000017000017000000000161017710170000000177116117000711700001700000001700000000001700000161017000001700000000000000000000000001610000000000071000710000710710000007100710161000000071000071000710000710000710007171016107100007100710071071007171007107107107107100070100710710710710071717170171070107171717107010701717171717170107017001717017017017017171701710710717010717017171701717017171717010701717170017170170077403
Teste01,20,3702,100000710710071071007107100007107100071070116171071071007171071000701000717107107171071071717171710717171717107171717171710717171710007107171071710717107171071717107017251107107107010070106101000611161701701717000007171000071000711611617107010700000007107007171701710710000001170000100071707000000010717100000071716107170171710071710701610010000007100000071107171000071000000000000000071771070170171017107071071717000017107171710170000717100700010071171070001700071717017000001710701717000000017007100071071710717100101017017017001700000000717071717101717170000000000700177100717171717000171611611771170000071000007171177171000101171710701071000701700016107007171071710101701717001070017001717000000177171700000071710710071000071000000100071717170017071701716116171717010710000170177117171071717171701701601701070072700101701701101601710700727000070170261717010701001700000071700101710710007170017000700710000000170170170000107710071717017170171007100017701007100001701700170170107261071717017000710071017071001070171700171710000710007007107170170170000170107171701700017000000000161007171710717016100710710000007100717010717171710701070010007171007170116171071710700171161071717107107107100700100701710701070107017011601701717010700010717171701700171700107001710700107017010701717017171007017100701070001070010701160171070017107017100701071001610000170071161016010161170000170017017001071702610727000000000000000177100170000170001717000170017170000171700170170171700107001717170107001717171710717017171717107170116170100701071710717100717100071161000071717170000007107717010700016001071770771271717171717171071710717107171710717171071717171070107010717171717171717171701070171717017171701701717017170017170017170170017017017017001700170017107010717171717170171071000001700016117171701717171071717116107010071070100071710717276117107100710710717107107
